"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"HP40",1,0,0.087,29.37,31.44,0.74,12.9,162.2,7
"HP50",2,62,0.102,22.73,30.38,0.74,14.8,151.1,9
"HP51",3,0,0.09,28.31,30.8,0.74,13,157.6,7
"HP60",4,45,0.116,24.23,44.04,0.74,16.9,170.9,6
"HP61",5,52,0.118,28.46,38,0.74,18,198.1,4
"HP62",6,0,0.075,39.66,50.35,0.74,10.3,167,7
"HT93",7,26,0.125,33.89,23.67,0.74,21,244.5,5
"HT94",8,1,0.12,33.62,24.09,0.74,20.1,237.1,5
"HU06",9,0,0.074,40.17,51.16,0.74,9.8,161.9,8
"HU14",10,0,0.089,35.63,44.52,0.74,11.6,166.8,7
"HU15",11,3,0.108,22.63,35.2,0.74,15.9,158.4,8
"HU16",12,0,0.087,35.86,45.47,0.74,12.6,181.5,6
"HU24",13,25,0.115,27.77,42.66,0.74,16.1,177.9,6
"HU25",14,0,0.104,22.34,30.79,0.74,15.1,151.7,9
"HU26",15,0,0.075,35.07,44.52,0.74,10.9,164.1,9
"HU27",16,5,0.117,24.23,43.72,0.74,17.5,176.3,7
"HU28",17,4,0.101,23.11,28.8,0.74,14,146.2,9
"HU30",18,4,0.088,40.14,44.05,0.74,10,156.4,5
"HU31",19,6,0.116,32.66,44.87,0.74,14,167.1,4
"HU32",20,3,0.117,34.46,26.21,0.74,19.3,232.4,5
"HU33",21,7,0.104,31.68,41.9,0.74,13.4,169.4,6
"HU34",22,8,0.107,28.94,43.55,0.74,15.9,185,6
"HU35",23,22,0.106,22.29,32.24,0.74,15.4,153.9,9
"HU36",24,27,0.1,23.96,32.59,0.74,14.4,153.3,8
"HU37",25,22,0.096,26.43,39.17,0.74,13.8,158.2,8
"HU38",26,25,0.102,22.95,29.36,0.74,14.5,149.3,8
"HU39",27,11,0.099,23.46,30.78,0.74,13.9,146.7,9
"HU40",28,5,0.112,33.43,43.94,0.74,12.4,153.4,5
"HU41",29,4,0.112,30.94,42.81,0.74,14.6,173.7,3
"HU42",30,7,0.109,31,43.06,0.74,15.2,182,4
"HU43",31,5,0.121,34.88,28.52,0.74,18.6,222.3,6
"HU44",32,17,0.111,29.6,41.6,0.74,16.9,195.3,5
"HU45",33,37,0.101,23.62,30.02,0.74,14.5,152.5,8
"HU46",34,18,0.103,23.01,30.72,0.74,14.9,153,8
"HU47",35,15,0.103,22.94,32.79,0.74,14.9,152.7,9
"HU48",36,14,0.096,25.35,30.23,0.74,13.9,155.4,7
"HU49",37,0,0.093,26.73,30.46,0.74,13.3,155.6,7
"HU53",38,0,0.112,38.29,28.48,0.74,19,248.2,5
"HU54",39,1,0.104,32.26,34.62,0.74,15.4,191.9,4
"HU55",40,2,0.083,38.37,46.27,0.74,10.4,161.4,7
"HU56",41,2,0.119,27.04,43.67,0.74,15.7,169.2,6
"HU57",42,0,0.099,30.42,45.96,0.74,13.8,172.3,7
"HU58",43,0,0.099,23.56,29.64,0.74,14.3,151.3,8
"HU59",44,8,0.103,23.08,31.85,0.74,14.9,153.1,8
"HU66",45,0,0.074,39.99,51.4,0.74,10.1,165.6,7
"HU67",46,0,0.087,35.16,45.5,0.74,11.2,161.3,8
"HU68",47,3,0.097,25.14,30.49,0.74,13.8,153,7
"HU69",48,3,0.105,26.82,42.23,0.74,16,177.1,6
"HU77",49,0,0.075,39.53,50.28,0.74,10.2,166.4,7
"HY10",50,20,0.157,23,30.02,0.74,34.1,295.5,4
"HY20",51,96,0.149,25.86,32.01,0.74,29.8,277,5
"HY21",52,25,0.135,23.05,38.94,0.74,15.6,141.4,4
"HY22",53,28,0.132,24.4,40.15,0.74,15.2,143.4,4
"HY23",54,0,0.103,35.25,44.01,0.74,11.3,144.5,5
"HY30",55,27,0.133,25,40.83,0.74,17.1,164.5,4
"HY31",56,34,0.134,23.86,39.72,0.74,15.8,146.6,4
"HY32",57,29,0.129,25.26,39.33,0.74,15.5,152.9,4
"HY33",58,8,0.143,28.15,36.62,0.74,23.8,233.2,6
"HY34",59,4,0.107,31.95,45.94,0.74,11.2,134.5,4
"HY35",60,3,0.097,42.71,38.71,0.74,11.9,173.5,6
"HY40",61,5,0.132,23.15,38.67,0.74,15.1,139,4
"HY41",62,25,0.13,24.51,40.12,0.74,14.7,140.7,4
"HY42",63,19,0.133,23.3,43.1,0.74,17.3,160.4,5
"HY43",64,7,0.131,23.56,44.37,0.74,16.9,159.1,5
"HY44",65,16,0.125,27.54,45.02,0.74,14.3,148.2,4
"HY45",66,11,0.122,28.35,46.2,0.74,13.5,143.3,4
"HY50",67,6,0.13,23.06,39.23,0.74,14.4,133.7,5
"HY51",68,22,0.129,24.19,40.27,0.74,14.3,136.2,4
"HY52",69,13,0.127,25.07,41.52,0.74,14,137.4,4
"HY53",70,7,0.126,26.38,44.42,0.74,14,142.7,4
"HY54",71,8,0.123,27.74,45.51,0.74,13.7,144,4
"HY55",72,7,0.102,34.09,44.86,0.74,10.5,133.2,4
"HY60",73,0,0.099,39.72,43.76,0.74,10.8,150,5
"HY61",74,0,0.099,38.74,41.21,0.74,11,150.5,5
"HY62",75,4,0.124,25.62,42.86,0.74,13.5,135.4,4
"HY63",76,4,0.121,26.78,43.8,0.74,12.9,133.9,4
"HY64",77,3,0.123,27.04,44.52,0.74,13.4,138.9,4
"HY73",78,0,0.097,38.57,36.86,0.74,11,153.4,5
"HY74",79,1,0.113,28.47,45.12,0.74,11.5,127.2,3
"HY75",80,8,0.123,27.09,44.17,0.74,13.2,136.8,4
"HZ16",81,6,0.097,35.05,46.42,0.74,11.1,153.5,6
"HZ17",82,5,0.103,34.11,44.71,0.74,12,158.7,5
"HZ26",83,11,0.114,30.31,43.23,0.74,12.2,141.8,3
"HZ27",84,100,0.115,27.5,40.58,0.74,17,186.2,5
"NA00",85,16,0.103,32.1,42.77,0.74,17.7,223.8,5
"NA10",86,4,0.073,44.14,43.37,0.74,10.6,186.2,5
"NA64",87,0,0.076,51.33,38.02,0.74,10.9,203.6,5
"NA74",88,4,0.076,48.29,42.2,0.74,12.3,225.2,6
"NA81",89,0,0.067,57.08,39.11,0.74,9.7,202.3,5
"NA90",90,0,0.093,38.35,29.98,0.74,14.2,201.4,5
"NA91",91,21,0.138,31.24,25.45,0.74,23.2,244.1,7
"NA92",92,8,0.132,29.31,29.37,0.74,21.8,232.7,5
"NA93",93,0,0.072,53,41.5,0.74,10.9,219.5,6
"NB00",94,38,0.137,29.95,26.5,0.74,24.2,252.1,6
"NB01",95,14,0.14,31.03,25.31,0.74,23.6,248.8,6
"NB02",96,22,0.142,29.1,24.81,0.74,23.4,237.3,5
"NB03",97,30,0.129,27.11,31.34,0.74,22,228.6,4
"NB10",98,50,0.137,29.61,26.77,0.74,25.4,263.9,5
"NB11",99,33,0.137,30.25,25.84,0.74,23.7,250.5,5
"NB12",100,4,0.134,28.36,27.95,0.74,22.4,232.1,4
"NB13",101,10,0.123,32.06,32.91,0.74,19.9,232.5,5
"NB14",102,11,0.109,34.2,38.51,0.74,18,233.4,4
"NB20",103,8,0.136,28.36,27.53,0.74,25.9,265.9,5
"NB21",104,19,0.14,27.83,27.81,0.74,25.7,257.5,5
"NB22",105,11,0.115,34.76,32.53,0.74,19.6,247.3,5
"NB23",106,40,0.119,30.12,29.22,0.74,18.2,209,5
"NB24",107,6,0.117,30.22,34.77,0.74,18.1,210.5,6
"NB25",108,0,0.078,45.81,37.88,0.74,10.4,183.2,6
"NB30",109,0,0.137,27.09,28.83,0.74,26.8,268.3,4
"NB31",110,0,0.135,25.67,30.99,0.74,24.6,241.3,4
"NB32",111,4,0.119,31.65,39.98,0.74,20.6,247.3,5
"NB33",112,21,0.123,31.49,22.46,0.74,17.6,200.9,5
"NB34",113,3,0.124,31.44,21.89,0.74,17,191,5
"NB35",114,7,0.111,29.48,32.62,0.74,17.1,201.3,7
"NB40",115,0,0.122,27.5,30.49,0.74,28.5,299.9,4
"NB41",116,0,0.13,27.07,34.15,0.74,26.9,276.4,4
"NB42",117,4,0.124,30.54,36.14,0.74,22.7,255.1,5
"NB43",118,59,0.112,29.57,37.47,0.74,18.4,217.2,7
"NB44",119,2,0.125,37.46,20.14,0.74,16.6,201.2,7
"NB45",120,6,0.127,36.91,19.29,0.74,16,189.2,8
"NB46",121,5,0.115,33.56,31.82,0.74,18.4,229.4,4
"NB52",122,0,0.128,29.54,37.58,0.74,24.1,263.3,5
"NB53",123,4,0.117,33.05,35.92,0.74,20.2,246.9,5
"NB54",124,12,0.12,31.27,26.08,0.74,16.9,193.9,5
"NB55",125,19,0.123,50.23,19.84,0.74,15.6,216.2,9
"NB56",126,3,0.118,34.62,29.65,0.74,18.3,227.7,5
"NB90",127,79,0.151,20.38,34.52,0.74,36.1,295.4,5
"NB91",128,9,0.152,22.25,34.59,0.74,34.6,296.4,3
"NC00",129,33,0.158,22.25,36.22,0.74,38.1,319.8,4
"NC01",130,100,0.169,19.47,36.42,0.74,41,310.3,4
"NC02",131,44,0.167,18.59,36.49,0.74,40.8,304.6,6
"NC03",132,30,0.16,19.2,34.91,0.74,38.7,300.8,6
"NC10",133,32,0.166,21.44,37.23,0.74,41.2,332.5,4
"NC11",134,56,0.166,21.06,38.61,0.74,41.6,332.4,4
"NC12",135,22,0.162,20.45,38.89,0.74,40.4,322.3,5
"NC13",136,113,0.166,18.92,37.39,0.74,41.3,313.1,6
"NC14",137,35,0.164,18.99,37.33,0.74,40.8,311.6,6
"NC15",138,16,0.155,19.13,34.01,0.74,38.4,302.8,7
"NC16",139,20,0.152,20.44,36.14,0.74,36.8,303.8,6
"NC20",140,9,0.156,23.79,36.39,0.74,35.6,315.3,5
"NC21",141,37,0.178,21.27,38.02,0.74,44.4,351.5,5
"NC22",142,66,0.162,20.92,38.47,0.74,41.8,338.6,5
"NC23",143,33,0.161,20.01,38.02,0.74,40.5,321.7,6
"NC24",144,14,0.158,20.41,37.76,0.74,39.5,319.7,6
"NC25",145,17,0.154,20.56,37.19,0.74,38.6,316.4,6
"NC26",146,6,0.151,21.01,36.92,0.74,37.5,314.3,6
"NC27",147,17,0.155,20.7,35.81,0.74,37.5,308.7,6
"NC30",148,12,0.158,24.77,36.86,0.74,35.3,316,5
"NC31",149,19,0.104,32.37,34.03,0.74,16.6,205.9,4
"NC32",150,0,0.158,21.99,37.41,0.74,39.6,334.1,4
"NC33",151,5,0.16,21.31,37.91,0.74,40.4,334.5,5
"NC34",152,22,0.158,21.8,37.51,0.74,40,338.8,5
"NC35",153,55,0.154,20.85,37.33,0.74,38.7,320.6,6
"NC36",154,63,0.154,20.86,37.01,0.74,38.4,317.8,6
"NC37",155,21,0.152,21,36.12,0.74,37.4,312.3,6
"NC40",156,48,0.168,19.2,37.48,0.74,42.2,321.4,6
"NC41",157,0,0.081,49.54,37.93,0.74,13.2,230.9,5
"NC42",158,0,0.079,51.81,38.01,0.74,11.6,209.9,5
"NC43",159,1,0.085,51.83,37.36,0.74,13.5,235.1,6
"NC44",160,56,0.154,20.67,37.68,0.74,38.8,319.5,6
"NC45",161,64,0.16,19.93,37.45,0.74,40.1,318.8,6
"NC46",162,86,0.159,20.55,37.46,0.74,39.1,317.1,5
"NC50",163,24,0.176,20.98,28.07,0.74,30.3,231.6,5
"NC51",164,5,0.09,40.52,35.63,0.74,12.3,183,4
"NC52",165,8,0.077,53.22,38.44,0.74,11.2,208.1,5
"NC53",166,4,0.076,54.13,38.37,0.74,10.9,208.2,4
"NC54",167,45,0.092,34.85,43.28,0.74,17.7,243.1,5
"NC55",168,70,0.154,20.81,36.79,0.74,38.8,320.4,5
"NC56",169,21,0.155,20.82,36.09,0.74,38.3,315.9,5
"NC60",170,1,0.094,39.56,43.49,0.74,16.4,237.2,5
"NC61",171,0,0.077,51.7,39.82,0.74,11.3,210,5
"NC62",172,3,0.076,52.42,39.7,0.74,11.2,211.1,5
"NC63",173,19,0.075,51.83,39.83,0.74,10.8,204,5
"NC64",174,11,0.074,51.71,39,0.74,10.5,198.5,5
"NC65",175,29,0.156,20.85,36.65,0.74,38.7,317.8,5
"NC66",176,28,0.161,21.16,31.66,0.74,36.3,298.4,5
"NC70",177,26,0.156,23.88,29.28,0.74,33.1,288.9,4
"NC71",178,0,0.076,50.91,40.97,0.74,11.2,208.2,5
"NC72",179,0,0.074,49.8,39.88,0.74,10.9,202.5,6
"NC73",180,0,0.075,48.76,40.02,0.74,10.6,194.4,6
"NC74",181,10,0.074,49.85,39.27,0.74,10.3,193.6,6
"NC75",182,49,0.149,22.12,37.71,0.74,36.9,318.3,5
"NC76",183,35,0.157,21.2,35.49,0.74,36.4,302.4,5
"NC80",184,34,0.177,20.1,25.62,0.74,37.7,281.9,5
"NC81",185,5,0.076,44.45,42.76,0.74,12.4,214.3,5
"NC82",186,6,0.073,48.53,39.97,0.74,10.4,193.6,6
"NC83",187,14,0.073,47.92,39.79,0.74,10.3,189.3,5
"NC84",188,22,0.075,46.12,38.94,0.74,10.2,182,5
"NC85",189,8,0.077,43.1,42.26,0.74,12,204.1,5
"NC86",190,40,0.16,20.68,34.05,0.74,36.4,295.7,5
"NC90",191,10,0.134,27.46,31.84,0.74,24,241.4,4
"NC91",192,23,0.158,21.54,25.71,0.74,35,290.2,3
"NC92",193,10,0.073,48.4,40.12,0.74,10.5,195.3,6
"NC93",194,4,0.073,48.18,39.7,0.74,10.5,193.9,6
"NC94",195,19,0.075,46.2,38.94,0.74,10.3,184.8,5
"NC95",196,5,0.076,46.63,41.16,0.74,11.6,207.7,5
"NC96",197,25,0.164,19.95,32.92,0.74,36.7,288.3,5
"ND01",198,19,0.157,20.69,22.09,0.74,32.3,261.4,4
"ND02",199,16,0.077,42.58,42.33,0.74,13.1,219.7,5
"ND03",200,7,0.073,48.37,40.04,0.74,10.5,195.2,6
"ND04",201,2,0.075,46.24,38.73,0.74,10.4,185.6,5
"ND05",202,4,0.076,43.13,39.54,0.74,10.8,184.3,5
"ND06",203,10,0.131,25.53,33.5,0.74,17,164.5,4
"ND07",204,12,0.136,22.57,41.77,0.74,18.7,169,5
"ND12",205,11,0.144,22.43,30.79,0.74,30.9,271.4,5
"ND13",206,44,0.077,43.12,42.95,0.74,12.9,218.1,3
"ND14",207,3,0.074,46.14,40.48,0.74,10.9,194.5,5
"ND15",208,12,0.129,26.31,31.78,0.74,15.6,155.1,5
"ND16",209,15,0.13,24.3,35.27,0.74,16.2,153.6,4
"ND17",210,13,0.155,22.67,31.06,0.74,33.8,291.7,4
"ND19",211,29,0.163,22.3,29.2,0.74,33.1,274.3,4
"ND23",212,7,0.12,30.39,31.85,0.74,17.7,197,5
"ND24",213,9,0.077,45.58,38.39,0.74,11.1,194.3,5
"ND25",214,6,0.129,26.3,34.74,0.74,15.9,157.9,5
"ND26",215,7,0.13,23.76,36.16,0.74,15.8,147.8,4
"ND27",216,48,0.131,22.72,37.12,0.74,15.6,142.8,5
"ND28",217,19,0.122,26.16,43.78,0.74,13.9,141.6,4
"ND29",218,15,0.152,23.76,33.33,0.74,33.6,299.5,5
"ND33",219,0,0.121,27.03,31.1,0.74,15,154.2,5
"ND34",220,6,0.126,26.67,35.34,0.74,17.1,172.5,4
"ND35",221,5,0.129,22.91,35.6,0.74,15.3,140.8,5
"ND36",222,2,0.081,35.42,43.69,0.74,11.9,173.7,7
"ND37",223,12,0.13,24.38,39.12,0.74,15.5,148.3,4
"ND38",224,24,0.126,23.65,41.16,0.74,14.1,134.1,5
"ND39",225,9,0.123,25.13,41.85,0.74,13.5,134.3,4
"ND47",226,5,0.105,30.09,45.38,0.74,11.2,131.7,4
"ND48",227,26,0.129,23.19,39.29,0.74,14.8,137.2,5
"ND49",228,13,0.13,22.67,38.66,0.74,14.7,134.5,5
"ND59",229,4,0.108,28.59,44.17,0.74,11.2,126,4
"NF09",230,80,0.13,26.78,40.68,0.74,24.1,250.1,5
"NF19",231,45,0.143,25.5,34.54,0.74,25.1,242.5,4
"NF56",232,0,0.056,61.75,42.56,0.74,8,188.4,6
"NF58",233,0,0.067,51.44,39.65,0.74,9.5,188.2,5
"NF60",234,28,0.164,17.36,31.58,0.74,42.9,309.7,6
"NF61",235,0,0.078,46.65,37.5,0.74,14.3,245.8,4
"NF66",236,2,0.073,42.34,44.16,0.74,10.7,184,7
"NF67",237,4,0.074,43.02,43.07,0.74,11,188.1,5
"NF68",238,0,0.062,54.09,41.08,0.74,8.7,183.4,6
"NF70",239,88,0.144,21.62,38.19,0.74,35.3,305.9,5
"NF71",240,22,0.127,26.61,41.39,0.74,29.3,300.2,4
"NF72",241,21,0.145,24.45,34.33,0.74,32.9,304.2,4
"NF73",242,38,0.139,25.57,34.93,0.74,28.6,278.4,3
"NF74",243,2,0.121,27.85,35.61,0.74,23.2,254.2,6
"NF75",244,8,0.12,28.1,37.62,0.74,23.1,255.7,6
"NF76",245,4,0.117,28.85,37.37,0.74,21.4,244.3,7
"NF77",246,34,0.125,28.42,39.67,0.74,23,252.9,6
"NF80",247,0,0.066,52.7,39.57,0.74,10,196.4,5
"NF81",248,12,0.119,23.22,32.19,0.74,32.1,313.1,6
"NF82",249,5,0.118,23.83,35.7,0.74,31.9,316.5,6
"NF83",250,8,0.114,25.44,36.93,0.74,29.5,309.5,6
"NF84",251,0,0.128,28.44,35.39,0.74,24.7,264.9,4
"NF85",252,12,0.123,27.89,36.45,0.74,22.4,243.3,5
"NF86",253,27,0.122,28.01,37.32,0.74,20.8,228,6
"NF87",254,8,0.122,29,41.78,0.74,22.2,248.4,5
"NF88",255,2,0.12,30.8,34.46,0.74,21,240.4,5
"NF89",256,0,0.067,50.61,38.65,0.74,9.6,185.7,5
"NF95",257,0,0.1,33.98,34.79,0.74,22.8,299.5,4
"NF96",258,2,0.108,37.88,33.28,0.74,21.4,286.8,5
"NF97",259,3,0.076,58.95,34.73,0.74,12.4,243.7,6
"NF98",260,16,0.1,34.96,44.29,0.74,17.9,241.8,5
"NF99",261,5,0.11,33.6,30.18,0.74,22.1,271,5
"NG07",262,0,0.064,52.8,39.12,0.74,9.4,189.4,5
"NG08",263,30,0.128,29.71,31.16,0.74,26,280.3,5
"NG09",264,46,0.132,31.08,28.66,0.74,25,270.5,6
"NG13",265,0,0.108,25.59,34.1,0.74,29.3,312.7,6
"NG14",266,9,0.142,20.1,36.73,0.74,38.3,318.2,6
"NG15",267,0,0.138,22.85,34.98,0.74,34.6,312.6,5
"NG18",268,0,0.115,30.46,38.24,0.74,21,244.9,4
"NG19",269,38,0.127,31.28,30.62,0.74,24.9,275.6,5
"NG20",270,133,0.165,15.74,37.75,0.74,48.2,327.4,6
"NG23",271,0,0.121,22.34,36.34,0.74,33.8,316.6,6
"NG24",272,29,0.155,21.07,31.68,0.74,37.4,307.4,4
"NG25",273,12,0.143,22.29,32.85,0.74,35.3,309.4,5
"NG26",274,7,0.131,23.69,34.98,0.74,32.1,303.2,5
"NG29",275,49,0.118,30.61,34.58,0.74,23.9,272.2,4
"NG30",276,11,0.157,17.74,39.75,0.74,45.7,336.8,5
"NG31",277,0,0.137,20.38,36.73,0.74,39.4,332.2,6
"NG32",278,30,0.175,16.75,35.88,0.74,47.7,325.3,5
"NG33",279,42,0.148,22.66,35.65,0.74,39.5,344.4,4
"NG34",280,1,0.136,24.76,29.82,0.74,28,267.1,4
"NG35",281,34,0.135,25.93,32.74,0.74,29.8,291.5,5
"NG36",282,49,0.124,26.96,34.45,0.74,24.7,257.6,4
"NG37",283,13,0.122,26.89,36.61,0.74,23.2,246.4,5
"NG38",284,0,0.078,41.2,33.87,0.74,12.9,203.9,4
"NG39",285,0,0.079,37.3,33.76,0.74,13.4,200.5,5
