"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Absconditella celata",1779.5,0,0,0,0,0,0,0
"Absconditella celata",1979.5,0,0,0,0,0,0,0
"Absconditella celata",2011.5,0.657,0.39,3,3,3,125,0
"Acarospora durietzii",1779.5,0,0,0,0,0,0,0
"Acarospora durietzii",1979.5,0.296,0.303,1,1,1,89,0
"Acarospora durietzii",2011.5,0,0,0,0,0,0,0
"Aspicilia leprosescens",1779.5,0,0,0,0,0,0,0
"Aspicilia leprosescens",1979.5,0.316,0.068,24,21.6,21.6,1305,0
"Aspicilia leprosescens",2011.5,0.375,0.079,24,22.6,22.6,1305,0
"Pertusaria chiodectonoides",1779.5,0,0,0,0,0,0,0
"Pertusaria chiodectonoides",1979.5,0.089,0.111,2,0.6,0.6,368,0
"Pertusaria chiodectonoides",2011.5,0.378,0.225,3,2.9,2.9,368,0
"Pertusaria coccodes",1779.5,0.778,0.673,1,1,1,2301,0
"Pertusaria coccodes",1979.5,0.352,0.033,114,113.4,113.4,2301,0
"Pertusaria coccodes",2011.5,0.173,0.029,37,37,37,2301,0
"Pertusaria corallina",1779.5,0.434,0.359,2,1.1,1.1,2339,0
"Pertusaria corallina",1979.5,0.65,0.047,199,191.6,191.6,2339,0
"Pertusaria corallina",2011.5,0.568,0.045,166,163.9,163.9,2339,0
"Pertusaria coronata",1779.5,0,0,0,0,0,0,0
"Pertusaria coronata",1979.5,0.44,0.221,4,4,4,363,0
"Pertusaria coronata",2011.5,0.101,0.101,1,1,1,363,0
"Pertusaria dactylina",1779.5,1.374,1.271,1,1,1,361,0
"Pertusaria dactylina",1979.5,0.333,0.139,6,5.7,5.7,361,0
"Pertusaria dactylina",2011.5,0.218,0.113,4,3.7,3.7,361,0
"Pertusaria excludens",1779.5,0,0,0,0,0,0,0
"Pertusaria excludens",1979.5,0.353,0.098,13,13,13,678,0
"Pertusaria excludens",2011.5,0.319,0.089,13,13,13,678,0
"Pertusaria flavicans",1779.5,0.006,0.073,1,0,0,1408,0
"Pertusaria flavicans",1979.5,0.333,0.059,33,32.3,32.3,1408,0
"Pertusaria flavicans",2011.5,0.25,0.055,21,20.7,20.7,1408,0
"Pertusaria flavida",1779.5,0,0,0,0,0,0,0
"Pertusaria flavida",1979.5,0.242,0.037,43,42.7,42.7,2013,0
"Pertusaria flavida",2011.5,0.261,0.042,38,38,38,2013,0
"Pertusaria flavocorallina",1779.5,0,0,0,0,0,0,0
"Pertusaria flavocorallina",1979.5,0.586,0.603,1,1,1,81,0
"Pertusaria flavocorallina",2011.5,0,0,0,0,0,0,0
"Pertusaria geminipara",1779.5,0,0,0,0,0,0,0
"Pertusaria geminipara",1979.5,0.489,0.497,1,1,1,88,0
"Pertusaria geminipara",2011.5,0,0,0,0,0,0,0
"Aspicilia radiosa",1779.5,0,0,0,0,0,0,0
"Aspicilia radiosa",1979.5,0.298,0.054,31,31,31,1148,0
"Aspicilia radiosa",2011.5,0.063,0.032,4,3.8,3.8,1148,0
"Pertusaria glomerata",1779.5,0,0,0,0,0,0,0
"Pertusaria glomerata",1979.5,0.216,0.217,1,1,1,189,0
"Pertusaria glomerata",2011.5,0.325,0.326,1,1,1,189,0
"Pertusaria hymenea",1779.5,0.502,0.413,1,1,1,2535,0
"Pertusaria hymenea",1979.5,0.548,0.037,230,227.7,227.7,2535,0
"Pertusaria hymenea",2011.5,0.55,0.04,194,192.5,192.5,2535,0
"Pertusaria lactescens",1779.5,0,0,0,0,0,0,0
"Pertusaria lactescens",1979.5,0.098,0.031,10,10,10,1984,0
"Pertusaria lactescens",2011.5,0.45,0.067,47,45.2,45.2,1984,0
"Pertusaria leioplaca",1779.5,0.326,0.297,2,0.9,0.9,2503,0
"Pertusaria leioplaca",1979.5,0.437,0.033,176,173,173,2503,0
"Pertusaria leioplaca",2011.5,0.537,0.04,190,184.6,184.6,2503,0
"Pertusaria melanochlora",1779.5,0,0,0,0,0,0,0
"Pertusaria melanochlora",1979.5,0,0,0,0,0,0,0
"Pertusaria melanochlora",2011.5,0.423,0.217,4,3.8,3.8,310,0
"Pertusaria monogona",1779.5,0,0,0,0,0,0,0
"Pertusaria monogona",1979.5,0,0,0,0,0,0,0
"Pertusaria monogona",2011.5,1.185,0.554,5,4.8,4.8,165,0
"Pertusaria multipuncta",1779.5,0.26,0.393,2,0.3,0.3,1909,0
"Pertusaria multipuncta",1979.5,0.554,0.054,109,107.6,107.6,1909,0
"Pertusaria multipuncta",2011.5,0.421,0.047,83,82.4,82.4,1909,0
"Pertusaria oculata",1779.5,0,0,0,0,0,0,0
"Pertusaria oculata",1979.5,0.401,0.202,4,4,4,288,0
"Pertusaria oculata",2011.5,0,0,0,0,0,0,0
"Pertusaria ophthalmiza",1779.5,0,0,0,0,0,0,0
"Pertusaria ophthalmiza",1979.5,0.126,0.063,4,4,4,592,0
"Pertusaria ophthalmiza",2011.5,0.286,0.086,12,11.1,11.1,592,0
"Pertusaria pertusa",1779.5,0.423,0.315,3,1.3,1.3,2813,0
"Pertusaria pertusa",1979.5,0.618,0.034,338,335.5,335.5,2813,0
"Pertusaria pertusa",2011.5,0.58,0.037,265,256.7,256.7,2813,0
"Aspicilia recedens",1779.5,0,0,0,0,0,0,0
"Aspicilia recedens",1979.5,0.216,0.217,1,1,1,210,0
"Aspicilia recedens",2011.5,0.287,0.287,1,1,1,210,0
"Pertusaria pluripuncta",1779.5,0,0,0,0,0,0,0
"Pertusaria pluripuncta",1979.5,0.937,1.149,1,1,1,24,0
"Pertusaria pluripuncta",2011.5,1.869,1.523,2,2,2,24,0
"Pertusaria pseudocorallina",1779.5,0,0,0,0,0,0,0
"Pertusaria pseudocorallina",1979.5,0.326,0.036,83,82,82,2204,0
"Pertusaria pseudocorallina",2011.5,0.537,0.048,129,125.8,125.8,2204,0
"Pertusaria pupillaris",1779.5,0.371,0.446,1,0.5,0.5,1542,0
"Pertusaria pupillaris",1979.5,0.445,0.063,51,50.5,50.5,1542,0
"Pertusaria pupillaris",2011.5,0.157,0.037,19,18.4,18.4,1542,0
"Pertusaria pustulata",1779.5,0,0,0,0,0,0,0
"Pertusaria pustulata",1979.5,0.826,0.508,3,3,3,85,0
"Pertusaria pustulata",2011.5,0.842,0.547,3,3,3,85,0
"Petractis clausa",1779.5,5.435,3.84,2,1.5,1.5,1229,0
"Petractis clausa",1979.5,0.259,0.058,20,20,20,1229,0
"Petractis clausa",2011.5,0.312,0.074,19,17.9,17.9,1229,0
"Petractis nodispora",1779.5,0,0,0,0,0,0,0
"Petractis nodispora",1979.5,0,0,0,0,0,0,0
"Petractis nodispora",2011.5,0.31,0.222,2,2,2,190,0
"Phaeographis dendritica",1779.5,3.165,2.324,9,1.1,1.1,770,0
"Phaeographis dendritica",1979.5,0.332,0.047,52,51.4,51.4,770,0
"Phaeographis dendritica",2011.5,0.743,0.084,83,83,83,770,0
"Phaeographis inusta",1779.5,2.888,3.279,1,0.6,0.6,638,0
