"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","change_10yr"
"S1","Absconditella celata",0.000478021978021976,-0.946450549450545,0.000262646558301475,1.82001995805057,0.0960481201561305,0.523215017497085,-1.80891319591341,0.0978487324862145,0.161570450097847,0.231439579256359,3.31247264770239,1,11,1962,2022,-54.8549810844921
"S2","Absconditella delutula",0.00408351648351647,-8.02744175824173,0.00247791921833846,1.64796190823954,0.127599139399275,4.93623276681651,-1.62622836836335,0.132181095515074,0.125095229347506,0.198003960235214,2.71577845100849,1,11,1962,2022,-257.763185275971
"S3","Absconditella lignicola",0.0112802197802197,-22.2430439560439,0.0042731286679838,2.63980344536223,0.0230012609730041,8.51244769870601,-2.61300212856815,0.0241279600712174,0.332166934321138,0.387819689794376,6.96856223014628,1,11,1962,2022,-99.7305542420631
"S4","Absconditella pauxilla",0.0126428571428571,-24.8895714285713,0.0160223493027696,0.789076364767037,0.446741596624197,31.9179273659873,-0.779799112366376,0.451961544030944,-0.0324675324675325,0.0535714285714285,0.622641509433961,1,11,1962,2022,-147.540983606634
"S5","Absconditella trivialis",7.90033976011023e-17,0.860307692307535,0.0480301634265991,1.6448704723197e-15,0.999999999999999,95.680304970114,0.00899148150265883,0.992986931714267,-0.0909090909090908,3.57949534938764e-31,3.93744488432641e-30,1,11,1962,2022,9.09693400943772e-14
"S6","Acarospora admissa",-0.00022307692307691,0.567215384615358,0.00468678774911026,-0.0475969758005915,0.96289061912985,9.33649292804034,0.060752510496938,0.952646062969877,-0.090684462252274,0.000205909602082031,0.00226547210536208,1,11,1962,2022,-1.69385927339269
"S7","Acarospora anomala",0.0104505494505494,-20.4517252747252,0.0201759833297673,0.517969770282813,0.614737347343484,40.1923312423083,-0.508846455096807,0.620910832294666,-0.0649350649350648,0.0238095238095238,0.26829268292683,1,11,1962,2022,196.7213114755
"S8","Acarospora badiofusca",1.39901849918619e-17,0.136153846153818,0.00760134024187056,1.84048924883004e-15,0.999999999999999,15.1425375355062,0.00899148150265863,0.992986931714268,-0.0909090909090908,2.92494962347808e-31,3.21744458582588e-30,1,11,1962,2022,1.00256316477682e-13
"S9","Acarospora cervina",0.00519890109890108,-10.198134065934,0.00268548813163327,1.93592406447881,0.0789871580590014,5.34972827691848,-1.90629010260841,0.0830611033746187,0.186319424855026,0.254126139450441,3.74780198342815,1,11,1962,2022,2423.66803275366
"S10","Acarospora durietzii",8.84673462720677e-18,0.0890769230769055,0.00497308022603735,1.77892457493211e-15,0.999999999999999,9.90681269272103,0.00899148150265869,0.992986931714268,-0.0909090909090908,3.41056258130088e-31,3.75161883943097e-30,1,11,1962,2022,9.70529626696729e-14
"S11","Acarospora fuscata",-0.000643956043956051,1.9389142857143,0.00331101422630154,-0.194489059829671,0.849338325095955,6.59583120963262,0.293960567529789,0.774260593547198,-0.0871706082425379,0.00342694244434031,0.0378259943934296,1,11,1962,2022,-0.937713025676705
"S12","Acarospora glaucocarpa",0.000707692307692323,-1.22480000000003,0.00482433092853454,0.146692322350137,0.886028815704008,9.6104910245487,-0.127444060545028,0.900888884038246,-0.0887791777840798,0.00195242036459337,0.0215186374364763,1,11,1962,2022,4.25243436460013
"S13","Acarospora impressula",0.00133186813186815,-2.4122351648352,0.00338659451457732,0.393276527832083,0.701630419455985,6.74639378356612,-0.35755920010351,0.727439178735406,-0.0757829539917174,0.0138656255075923,0.15466642734366,1,11,1962,2022,6.52114844669874
"S14","Acarospora macrospora subsp. macrospora",-0.0065846153846153,13.5774769230768,0.0256561984012961,-0.256648131637564,0.802187277393875,51.1094010987748,0.265655175587691,0.79541775386506,-0.0844155844155845,0.00595238095238084,0.0658682634730526,1,11,1962,2022,-9.83606557376975
"S15","Acarospora moenium",0.00233846153846153,-4.61729230769229,0.00217317995918856,1.07605517369794,0.304937231741436,4.32916539140797,-1.06655484146117,0.309022451935658,0.0129870129870128,0.095238095238095,1.1578947368421,1,11,1962,2022,-78.6885245901669
"S16","Acarospora nitrophila",0.00426483516483515,-8.38616703296701,0.00233545384589862,1.8261269313135,0.0950709862677939,4.6524292294091,-1.80253511003586,0.0988965773417443,0.162872827789197,0.23263342547343,3.33473956926845,1,11,1962,2022,-226.014034883284
"S17","Acarospora sinopica",0.00285164835164836,-5.43802197802199,0.00204863490236027,1.39197489428835,0.191432971931421,4.08106069698896,-1.3325021071199,0.209640268540936,0.0724705148904304,0.149764638649561,1.93759410632906,1,11,1962,2022,17.8756146536408
"S18","Acarospora umbilicata",0.00292307692307692,-5.70761538461537,0.00310040044215479,0.942806252809514,0.366026293453897,6.1762700493033,-0.924120114414235,0.375251107419553,-0.00934624083456814,0.0747659459016458,0.888883630336717,1,11,1962,2022,104.697616751586
"S19","Acarospora veronensis",0.0191296703296703,-37.7175340659339,0.0136309967343545,1.40339482889445,0.188092729750992,27.1541429706523,-1.3890158163599,0.192306554647279,0.0747535195294005,0.15185739290195,1.96951704576769,1,11,1962,2022,-101.642069042087
"S20","Acolium inquinans",-0.0190494505494506,38.299120879121,0.00655961359231684,-2.90405071599994,0.014340828796852,13.0673265344627,2.93090715825566,0.0136682234011235,0.382509919539678,0.433967426244705,8.43351056109974,1,11,1962,2022,-20.2761462572756
"S21","Acolium sessile",-0.00187252747252744,3.92499780219774,0.00347309622424097,-0.539152200695698,0.60052391906232,6.91871278834533,0.567301739827884,0.58190161510344,-0.0628230172469113,0.0257455675236646,0.290685095515015,1,11,1962,2022,-7.33507909746368
"S22","Acrocordia cavata",0.00639560439560437,-12.6505054945054,0.00461193591718689,1.38675049056307,0.192977583019556,9.18738150315533,-1.37694352739796,0.195905230750275,0.071428571428571,0.148809523809523,1.92307692307692,1,11,1962,2022,-61.4754098360921
"S23","Acrocordia conoidea",0.000859340659340585,-1.39903736263722,0.00396150882393609,0.216922566005232,0.832239497495538,7.8916735937253,-0.177280186011443,0.862510506204559,-0.0862623175030479,0.00425954228887257,0.0470553996422944,1,11,1962,2022,2.94524555011791
"S24","Acrocordia gemmata",-0.00137252747252743,3.0486131868131,0.00272691764712682,-0.503325604267358,0.624661528787623,5.43225951134255,0.561205365915896,0.585908476959452,-0.0663503952995035,0.0225121376421217,0.253336663911102,1,11,1962,2022,-3.79525668879798
"S25","Acrocordia macrospora",0.00492307692307691,-9.63161538461536,0.00338462401234028,1.4545417467723,0.173729390350346,6.74246837000236,-1.42849989886004,0.180921899532312,0.0850654101369344,0.16130995929219,2.11569169310342,1,11,1962,2022,176.332828213259
"S26","Acrocordia salweyi",0.00172747252747254,-3.25435604395606,0.00131074384343561,1.31793297075089,0.214312756988951,2.61111688427371,-1.24634636754734,0.23852642495141,0.0578590220359703,0.136370770199639,1.73694731539227,1,11,1962,2022,12.5914455064873
"S27","Agonimia allobata",0.00423846153846153,-8.27863076923076,0.00177493001172733,2.3879598127572,0.0359910152148201,3.53581651001898,-2.34136323131381,0.0390782212228397,0.281538315584755,0.341410122619359,5.70235206734342,1,11,1962,2022,111.976696924558
"S28","Agonimia flabelliformis",0.00747472527472524,-14.7380373626373,0.00386036410142848,1.93627468247343,0.0789400831170457,7.69018442098003,-1.91647385236037,0.0816396788920822,0.186394324285144,0.254194797261382,3.74915964598757,1,11,1962,2022,-101.233042869997
"S29","Agonimia gelatinosa",-0.000725274725274707,1.57959340659337,0.00306443061257819,-0.236675199072141,0.817258371722212,6.10461498885631,0.258753977028338,0.800603021939597,-0.0853820148895572,0.00506648635123914,0.0560151498558377,1,11,1962,2022,-4.55533175123736
"S30","Agonimia globulifera",0.00458461538461537,-9.02393846153843,0.00417719415983396,1.09753466302787,0.295851870786701,8.32133773067598,-1.08443362757317,0.301368466347402,0.0167627478684845,0.0986991855461108,1.20458233654771,1,11,1962,2022,-155.912103243829
"S31","Agonimia octospora",0.00966263736263735,-18.8471274725274,0.00356931601240214,2.70713977945999,0.0203948678757546,7.11039105921964,-2.65064569804349,0.0225603675821043,0.345285716741715,0.399845240346572,7.32860578553469,1,11,1962,2022,85.6491627947373
"S32","Agonimia opuntiella",4.39560439560438e-05,-0.0869450549450546,3.1697154070013e-05,1.38675049056307,0.192977583019556,0.0631435154856037,-1.37694352739796,0.195905230750275,0.0714285714285711,0.148809523809523,1.92307692307692,1,11,1962,2022,-61.4754098360688
"S33","Agonimia tristicula",0.00692197802197801,-13.5098879120879,0.00174535244962099,3.9659485529591,0.00221139542159659,3.47689540793005,-3.88561815269874,0.00253867130508636,0.551045187982691,0.588458088984133,15.7287479247184,1,11,1962,2022,95.8499026132245
"S34","Ainoa mooreana",-0.00638571428571422,13.0055736263735,0.00891935382803639,-0.715939114966139,0.48894882637427,17.7681363859416,0.731960479359203,0.47949746887208,-0.0423390462578381,0.0445225409303149,0.512568816338498,1,11,1962,2022,-13.1732413858765
"S35","Alectoria nigricans",-0.0301000000000002,60.5467384615388,0.0130021405528638,-2.31500343175189,0.0409364805505241,25.9014062124416,2.33758499306712,0.0393394801487335,0.266469631359732,0.327597162079755,5.35924088902303,1,11,1962,2022,-19.8629945761292
"S36","Alectoria ochroleuca",-0.00371868131868128,7.54045934065927,0.00548767687554775,-0.677642179562569,0.511999767940729,10.9319344255879,0.689764413790267,0.504633973281368,-0.0471936197361569,0.0400725152418561,0.459198923522309,1,11,1962,2022,-14.9657146268775
"S37","Alectoria sarmentosa",0.000505494505494537,-0.675791208791272,0.00657769222933371,0.0768498263327444,0.940123002212418,13.103340767599,-0.0515739627608801,0.959792809849683,-0.0903236965319973,0.00053661151233564,0.00590589580737293,1,11,1962,2022,1.573496840179
"S38","Allantoparmelia alpicola",0.00234505494505495,-4.44788791208793,0.00378229086215535,0.620009150676111,0.547880488789832,7.53465566965538,-0.590323978572915,0.566903172367366,-0.0540729453916224,0.033766466724346,0.384411346922112,1,11,1962,2022,15.0650713661288
"S39","Amandinea coniops",-0.0105560439560439,21.2938703296702,0.00689281940647656,-1.53145517582041,0.153895745380467,13.7311017882226,1.55077652602753,0.149232206246145,0.100810728529023,0.175743167818271,2.34535495554711,1,11,1962,2022,-17.8122812520769
"S40","Amandinea pelidna",0.00667362637362636,-13.0641714285714,0.00352527651587767,1.89307883894176,0.0849391336550551,7.02266051329653,-1.86028804949862,0.08977063079804,0.177166225083175,0.245735706326243,3.58374749044909,1,11,1962,2022,222.640425752906
"S41","Amandinea punctata",-0.016256043956044,33.1442703296704,0.00525093020917326,-3.09584079553087,0.0101794073247617,10.4603142681011,3.16857309256419,0.00894131514161719,0.417029450935277,0.465610330024004,9.58423023127319,1,11,1962,2022,-12.7925408409197
"S42","Ameliella andreaeicola",-0.00737912087912082,14.8025164835164,0.00532115973950344,-1.38675049056307,0.192977583019557,10.6002176621457,1.39643514457042,0.190122503377464,0.07142857142857,0.148809523809522,1.9230769230769,1,11,1962,2022,-22.3546944858396
"S43","Amygdalaria consentiens",-0.000269230769230747,0.732769230769186,0.00630071182423432,-0.0427302147346605,0.966682368363359,12.5515714680596,0.0583806762869403,0.954492468232798,-0.0907280428203328,0.000165960748028323,0.00182587125127022,1,11,1962,2022,-1.29470588597946
"S44","Amygdalaria pelobotryon",0.00119450549450551,-2.11376263736268,0.0042394668954722,0.281758420093163,0.783358912430329,8.44539049069409,-0.250285956545386,0.806979239365634,-0.0830923340458016,0.00716536045801515,0.0793878072933953,1,11,1962,2022,5.11153763861417
"S45","Anaptychia ciliaris",-0.0111791208791209,22.5211164835164,0.00392281369007484,-2.84977104760425,0.0158032011937113,7.81458948772674,2.8819321243793,0.0149196275006583,0.372424161508387,0.424722148049354,8.12119502376343,1,11,1962,2022,-18.7105770642661
"S46","Anaptychia runcinata",0.00388791208791209,-7.22356703296703,0.00358973040562455,1.08306520228381,0.301949165066389,7.15105832391227,-1.01013957735631,0.334132322798106,0.0142142284291344,0.0963630427267065,1.17303023239806,1,11,1962,2022,9.45369590611487
"S47","Anisomeridium biforme",-0.0031681318681319,6.68507252747258,0.0022946799063701,-1.38064217991236,0.194796748489696,4.57120395989937,1.46243147015907,0.171598931668161,0.0702123581454198,0.147694661633301,1.90617282895314,1,11,1962,2022,-6.64153852710523
