"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"HP40",1,0,0.087,29.2,31.44,0.74,12.8,161,7
"HP50",2,62,0.102,22.59,30.38,0.74,14.7,149.7,9
"HP51",3,0,0.09,28.13,30.8,0.74,12.9,156.4,7
"HP60",4,42,0.116,24.66,44.04,0.74,16.7,170.1,6
"HP61",5,52,0.117,28.8,38,0.74,17.8,196.5,3
"HP62",6,0,0.075,39.72,50.35,0.74,10.2,166.3,7
"HT93",7,26,0.125,33.76,23.67,0.74,20.9,243.7,5
"HT94",8,1,0.12,33.49,24.09,0.74,20,236.3,5
"HU06",9,0,0.074,40.23,51.16,0.74,9.7,161.3,8
"HU14",10,0,0.089,36.09,44.52,0.74,11.5,165.8,7
"HU15",11,3,0.108,22.58,35.2,0.74,15.7,157,8
"HU16",12,0,0.088,35.98,45.47,0.74,12.5,180.6,6
"HU24",13,25,0.115,28.11,42.66,0.74,15.9,176.6,6
"HU25",14,0,0.104,22.25,30.79,0.74,14.9,150.2,9
"HU26",15,0,0.075,35.11,44.52,0.74,10.8,163.5,9
"HU27",16,5,0.117,24.61,43.72,0.74,17.2,175.5,6
"HU28",17,4,0.1,22.97,28.8,0.74,14,145.3,9
"HU30",18,4,0.087,40.7,44.05,0.74,9.9,155.9,5
"HU31",19,6,0.115,33.33,44.87,0.74,13.7,166.8,4
"HU32",20,3,0.117,34.19,26.21,0.74,19.2,231,5
"HU33",21,7,0.103,31.96,41.9,0.74,13.3,168.3,6
"HU34",22,8,0.107,29.37,43.55,0.74,15.7,184.2,6
"HU35",23,22,0.105,22.23,32.24,0.74,15.3,152.5,9
"HU36",24,27,0.1,23.94,32.59,0.74,14.3,152.1,8
"HU37",25,22,0.095,26.41,39.17,0.74,13.7,157,8
"HU38",26,25,0.102,22.77,29.36,0.74,14.4,148.2,9
"HU39",27,11,0.099,23.31,30.78,0.74,13.8,145.4,9
"HU40",28,5,0.111,34.05,43.94,0.74,12.1,153,5
