"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Absconditella celata",1962,0,0,0,0,0,0,0
"Absconditella celata",1967,0,0,0,0,0,0,0
"Absconditella celata",1972,0,0,0,0,0,0,0
"Absconditella celata",1977,0,0,0,0,0,0,0
"Absconditella celata",1982,0,0,0,0,0,0,0
"Absconditella celata",1987,0,0,0,0,0,0,0
"Absconditella celata",1992,0,0,0,0,0,0,0
"Absconditella celata",1997,0,0,0,0,0,0,0
"Absconditella celata",2002,0,0,0,0,0,0,0
"Absconditella celata",2007,0.005,0.065,1,0,0,93,0
"Absconditella celata",2012,0,0,0,0,0,0,0
"Absconditella celata",2017,0,0,0,0,0,0,0
"Absconditella celata",2022,0.07,0.803,1,0,0,93,0
"Acarospora durietzii",1962,0,0,0,0,0,0,0
"Acarospora durietzii",1967,0,0,0,0,0,0,0
"Acarospora durietzii",1972,0,0,0,0,0,0,0
"Acarospora durietzii",1977,0,0,0,0,0,0,0
"Acarospora durietzii",1982,0,0,0,0,0,0,0
"Acarospora durietzii",1987,0,0,0,0,0,0,0
"Acarospora durietzii",1992,1.158,1.194,1,1,1,89,0
"Acarospora durietzii",1997,0,0,0,0,0,0,0
"Acarospora durietzii",2002,0,0,0,0,0,0,0
"Acarospora durietzii",2007,0,0,0,0,0,0,0
"Acarospora durietzii",2012,0,0,0,0,0,0,0
"Acarospora durietzii",2017,0,0,0,0,0,0,0
"Acarospora durietzii",2022,0,0,0,0,0,0,0
"Aspicilia leprosescens",1962,0,0,0,0,0,0,0
"Aspicilia leprosescens",1967,0.237,0.243,2,0.8,0.8,1302,0
"Aspicilia leprosescens",1972,0.282,0.147,4,3.4,3.4,1302,0
"Aspicilia leprosescens",1977,0.37,0.157,6,5.3,5.3,1302,0
"Aspicilia leprosescens",1982,0.227,0.218,1,1,1,1302,0
"Aspicilia leprosescens",1987,0.349,0.21,3,2.6,2.6,1302,0
"Aspicilia leprosescens",1992,0.417,0.201,5,4.1,4.1,1302,0
"Aspicilia leprosescens",1997,0.183,0.127,2,2,2,1302,0
"Aspicilia leprosescens",2002,0.261,0.147,3,3,3,1302,0
"Aspicilia leprosescens",2007,0.197,0.137,2,2,2,1302,0
"Aspicilia leprosescens",2012,0.383,0.154,7,6,6,1302,0
"Aspicilia leprosescens",2017,0.285,0.125,7,5,5,1302,0
"Aspicilia leprosescens",2022,0.558,0.233,6,5.6,5.6,1302,0
"Pertusaria hymenea",1962,0.455,0.447,1,0.8,0.8,2535,0
"Pertusaria hymenea",1967,0.837,0.169,28,22.9,22.9,2535,0
"Pertusaria hymenea",1972,0.775,0.104,57,52.3,52.3,2535,0
"Pertusaria hymenea",1977,0.615,0.109,35,29.4,29.4,2535,0
"Pertusaria hymenea",1982,0.682,0.158,23,17.3,17.3,2535,0
"Pertusaria hymenea",1987,0.623,0.113,37,29,29,2535,0
"Pertusaria hymenea",1992,0.412,0.066,42,39.1,39.1,2535,0
"Pertusaria hymenea",1997,0.342,0.059,35,33.4,33.4,2535,0
"Pertusaria hymenea",2002,0.612,0.08,62,57.8,57.8,2535,0
"Pertusaria hymenea",2007,0.541,0.094,34,32.4,32.4,2535,0
"Pertusaria hymenea",2012,0.551,0.078,55,48.7,48.7,2535,0
"Pertusaria hymenea",2017,0.622,0.081,62,58.2,58.2,2535,0
"Pertusaria hymenea",2022,0.599,0.113,35,27.5,27.5,2535,0
"Pertusaria lactescens",1962,0,0,0,0,0,0,0
"Pertusaria lactescens",1967,0,0,0,0,0,0,0
"Pertusaria lactescens",1972,0.065,0.063,1,1,1,1984,0
"Pertusaria lactescens",1977,0.065,0.062,1,1,1,1984,0
"Pertusaria lactescens",1982,0,0,0,0,0,0,0
"Pertusaria lactescens",1987,0,0,0,0,0,0,0
"Pertusaria lactescens",1992,0.112,0.081,2,1.8,1.8,1984,0
"Pertusaria lactescens",1997,0.168,0.078,6,4.5,4.5,1984,0
"Pertusaria lactescens",2002,0.37,0.124,10,8.7,8.7,1984,0
"Pertusaria lactescens",2007,0.43,0.159,8,7.1,7.1,1984,0
"Pertusaria lactescens",2012,0.435,0.119,15,13.3,13.3,1984,0
"Pertusaria lactescens",2017,0.462,0.13,14,12.5,12.5,1984,0
"Pertusaria lactescens",2022,0.113,0.087,2,1.6,1.6,1984,0
"Pertusaria leioplaca",1962,0.714,0.564,2,1.2,1.2,2502,0
"Pertusaria leioplaca",1967,0.347,0.111,11,8.8,8.8,2502,0
"Pertusaria leioplaca",1972,0.455,0.08,33,30.4,30.4,2502,0
"Pertusaria leioplaca",1977,0.619,0.111,33,28.7,28.7,2502,0
"Pertusaria leioplaca",1982,0.66,0.16,19,15.9,15.9,2502,0
"Pertusaria leioplaca",1987,0.568,0.114,28,23.6,23.6,2502,0
"Pertusaria leioplaca",1992,0.321,0.062,31,25.7,25.7,2502,0
"Pertusaria leioplaca",1997,0.288,0.055,29,26.8,26.8,2502,0
